TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;SettlementDeadline;T+x
1;2024-03-02 00:01:20;60413519.25;15;0;21;0;3334;2024-03-04;2
2;2024-03-02 00:05:48;116960104.74;13;1;2;1;6410;2024-03-04;2
3;2024-03-02 00:06:00;12946660.08;16;4;4;4;5026;2024-03-04;2
4;2024-03-02 00:09:13;67365201.15;4;3;16;3;1082;2024-03-04;2
5;2024-03-02 00:10:01;101655028.28;18;0;25;0;6968;2024-03-04;2
6;2024-03-02 00:14:26;14143349.95;16;7;4;7;1388;2024-03-04;2
7;2024-03-02 00:15:16;96424221.2;30;4;2;4;6093;2024-03-04;2
8;2024-03-02 00:20:01;32755367.91;19;4;25;4;6407;2024-03-04;2
9;2024-03-02 00:26:27;165976324.71;14;2;5;2;2837;2024-03-04;2
10;2024-03-02 00:28:10;131274972.78;3;7;15;7;3616;2024-03-04;2
11;2024-03-02 00:31:25;98561979.13;4;0;30;0;4834;2024-03-04;2
12;2024-03-02 00:33:00;30278140.07;23;5;6;5;2360;2024-03-04;2
13;2024-03-02 00:36:44;129562692.89;8;6;4;6;2601;2024-03-04;2
14;2024-03-02 00:38:32;97129979.53;10;4;14;4;4194;2024-03-04;2
15;2024-03-02 00:41:43;42650404.04;6;2;14;2;6770;2024-03-04;2
16;2024-03-02 00:45:27;159320988.81;1;4;12;4;4314;2024-03-03;1
17;2024-03-02 00:48:46;240430000.11;6;3;21;3;4023;2024-03-03;1
18;2024-03-02 00:57:24;24903036.94;7;3;12;3;1865;2024-03-04;2
19;2024-03-02 01:01:28;58814003.62;22;4;25;4;4127;2024-03-04;2
20;2024-03-02 01:05:32;164863465.48;21;8;30;8;2737;2024-03-04;2
21;2024-03-02 01:17:49;20919106.6;23;0;30;0;814;2024-03-04;2
22;2024-03-02 01:30:13;43482052.31;8;6;6;6;2144;2024-03-04;2
23;2024-03-02 01:30:22;37579719.73;16;0;9;0;5002;2024-03-04;2
24;2024-03-02 01:30:40;81894330.96;11;4;3;4;5112;2024-03-04;2
25;2024-03-02 01:30:43;37619452.29;26;0;25;0;3620;2024-03-04;2
26;2024-03-02 01:31:39;161416422.96;7;0;23;0;2961;2024-03-04;2
27;2024-03-02 01:32:30;120107129.52;1;0;9;0;4992;2024-03-03;1
28;2024-03-02 01:32:32;25575926.11;15;0;18;0;696;2024-03-04;2
29;2024-03-02 01:34:45;25810829.54;22;6;9;6;458;2024-03-04;2
30;2024-03-02 01:35:11;138832414.91;3;4;20;4;6545;2024-03-04;2
31;2024-03-02 01:35:58;97326736.54;7;0;12;0;1711;2024-03-04;2
32;2024-03-02 01:37:06;168214757.14;3;1;5;1;614;2024-03-03;1
33;2024-03-02 01:39:03;226065348.39;14;8;9;8;3229;2024-03-04;2
34;2024-03-02 01:39:25;158749379.81;13;8;12;8;5769;2024-03-04;2
35;2024-03-02 01:41:14;223283509.35;5;0;6;0;6705;2024-03-04;2
36;2024-03-02 01:41:21;342347527.04;12;4;30;4;3066;2024-03-03;1
37;2024-03-02 01:42:46;107733630.23;4;0;3;0;2650;2024-03-04;2
38;2024-03-02 01:43:24;287414475.24;30;0;19;0;3811;2024-03-04;2
39;2024-03-02 01:44:49;336243103.35;1;2;28;2;4482;2024-03-04;2
40;2024-03-02 01:45:28;67682303.89;27;0;9;0;148;2024-03-04;2
